family,method,model,n_runs,source_train,target_train,weight_compute,alignment_train,TOTAL
Instance-Based,KMM,RNN,9,0.0,3.1402091596665844,0.847045792666601,0.0,3.9872549523331853
Instance-Based,KMM,LSTM,9,0.0,3.6142234434444416,0.8323490585553373,0.0,4.446572501999778
Instance-Based,KMM,Transformer,9,0.0,5.7189339478889245,0.8449062116664613,0.0,6.563840159555387
Instance-Based,RULSIF+TSBW,RNN,9,0.0,3.1243898654445528,0.30540746144439856,0.0,3.4297973268889512
Instance-Based,RULSIF+TSBW,LSTM,9,0.0,3.628104877444356,0.6550914964443816,0.0,4.283196373888738
Instance-Based,RULSIF+TSBW,Transformer,9,0.0,5.831722590333407,0.5294578749999346,0.0,6.361180465333342
Instance-Based,ULSIF+TSBW,RNN,9,0.0,3.1248192002221913,0.2847732628888479,0.0,3.4095924631110393
Instance-Based,ULSIF+TSBW,LSTM,9,0.0,3.6793626373333206,0.08103971922203826,0.0,3.7604023565553586
Instance-Based,ULSIF+TSBW,Transformer,9,0.0,5.8226236157778555,0.41624932799994796,0.0,6.238872943777803
Instance-Based,ULSIF,RNN,9,0.0,3.1711055697775614,0.49184101388881474,0.0,3.6629465836663764
Instance-Based,ULSIF,LSTM,9,0.0,3.634917017333363,0.5280068503333395,0.0,4.162923867666702
Instance-Based,ULSIF,Transformer,9,0.0,5.789674443333246,0.38510310677762993,0.0,6.174777550110877
Instance-Based,RULSIF,RNN,9,0.0,3.1612397921110946,0.3203859914444062,0.0,3.4816257835555007
Instance-Based,RULSIF,LSTM,9,0.0,3.669593276889019,0.07939082600003321,0.0,3.748984102889052
Instance-Based,RULSIF,Transformer,9,0.0,5.805495215222436,0.3298432606668737,0.0,6.135338475889309
Instance-Based,RULSIF+TSW,RNN,9,0.0,3.1277408705553977,0.5556594355556526,0.0,3.6834003061110505
Instance-Based,RULSIF+TSW,LSTM,9,0.0,3.637696682110901,0.24123125688877017,0.0,3.8789279389996714
Instance-Based,RULSIF+TSW,Transformer,9,0.0,5.794228532111244,0.3073847073331611,0.0,6.101613239444406
Instance-Based,IWC,RNN,9,0.0,3.114035012111041,0.002796419777546822,0.0,3.116831431888588
Instance-Based,IWC,LSTM,9,0.0,3.6373110617778366,0.0016304064443425001,0.0,3.6389414682221792
Instance-Based,IWC,Transformer,9,0.0,5.895053989222207,0.0017027311111329222,0.0,5.8967567203333395
Instance-Based,TrAdaBoostR2,RNN,9,0.0,3.114289661888708,0.00876435677784881,0.0,3.123054018666557
Instance-Based,TrAdaBoostR2,LSTM,9,0.0,3.6364465016667964,0.008880275888865644,0.0,3.645326777555662
Instance-Based,TrAdaBoostR2,Transformer,9,0.0,5.790010501555622,0.008851563333337212,0.0,5.798862064888959
Instance-Based,IWC+TSW,RNN,9,0.0,3.1202818950000113,0.0017467519999424664,0.0,3.122028646999954
Instance-Based,IWC+TSW,LSTM,9,0.0,3.652552829777859,0.0018239462223289889,0.0,3.654376776000188
Instance-Based,IWC+TSW,Transformer,9,0.0,5.793926025333349,0.0017860854444127331,0.0,5.795712110777761
Instance-Based,IWC+TSBW,RNN,9,0.0,3.118619603666553,0.0017851906665479,0.0,3.120404794333101
Instance-Based,IWC+TSBW,LSTM,9,0.0,3.6225775647776066,0.0017626347775552777,0.0,3.624340199555162
Instance-Based,IWC+TSBW,Transformer,9,0.0,5.793697401777738,0.0018063639997004447,0.0,5.795503765777438
Instance-Based,Baseline,RNN,9,0.0,2.8986541166667745,0.0,0.0,2.8986541166667745
Instance-Based,Baseline,LSTM,9,0.0,3.3918028628887544,0.0,0.0,3.3918028628887544
Instance-Based,Baseline,Transformer,9,0.0,5.532787387444437,0.0,0.0,5.532787387444437
Instance-Based,Target-Only,RNN,9,0.0,1.516416394333343,0.0,0.0,1.516416394333343
Instance-Based,Target-Only,LSTM,9,0.0,1.7360941788888846,0.0,0.0,1.7360941788888846
Instance-Based,Target-Only,Transformer,9,0.0,2.8646267828889904,0.0,0.0,2.8646267828889904
Parameter-Based,Target-Priority Joint FT (tsw),RNN,9,0.0,3.2790304196666713,0.0003171844443587889,0.0,3.27934760411103
Parameter-Based,Target-Priority Joint FT (tsw),LSTM,9,0.0,3.7853100998889,0.0003428668888873778,0.0,3.7856529667777874
Parameter-Based,Target-Priority Joint FT (tsw),Transformer,9,0.0,6.067455938444356,0.0003244845554743,0.0,6.06778042299983
Parameter-Based,Label-Aware Pretrain to Target FT (tsw),RNN,9,1.6445740036666494,1.5264301882220934,0.00018964633343577776,0.0,3.1711938382221785
Parameter-Based,Label-Aware Pretrain to Target FT (tsw),LSTM,9,1.9348792064444449,1.7951456291111754,0.00018613566675813333,0.0,3.7302109712223785
Parameter-Based,Label-Aware Pretrain to Target FT (tsw),Transformer,9,3.0704354875555913,2.960543171999992,0.0001973142221787,0.0,6.031175973777762
Parameter-Based,Label-Aware Joint FT (tsbw),RNN,9,0.0,3.229353293444395,0.0003128281111659556,0.0,3.229666121555561
Parameter-Based,Label-Aware Joint FT (tsbw),LSTM,9,0.0,3.8106383197778086,0.00030207955559384444,0.0,3.8109403993334023
Parameter-Based,Label-Aware Joint FT (tsbw),Transformer,9,0.0,6.007457922333338,0.0003072140000565222,0.0,6.007765136333394
Parameter-Based,Label-Aware Pretrain to Target FT (tsbw),RNN,9,1.6622013274444118,1.5293141400000725,0.00019541088891446667,0.0,3.191710878333399
Parameter-Based,Label-Aware Pretrain to Target FT (tsbw),LSTM,9,1.9281548260000312,1.8224347899999884,0.00020427644439116667,0.0,3.750793892444411
Parameter-Based,Label-Aware Pretrain to Target FT (tsbw),Transformer,9,3.073549293444456,2.8986933400000856,0.00021343822214065557,0.0,5.972456071666683
Parameter-Based,Label-Aware Joint FT (tsw),RNN,9,0.0,3.2396250540000437,0.00032594044442800003,0.0,3.239950994444472
Parameter-Based,Label-Aware Joint FT (tsw),LSTM,9,0.0,3.7593387433334,0.0003103905554679334,0.0,3.759649133888868
Parameter-Based,Label-Aware Joint FT (tsw),Transformer,9,0.0,5.9621048879999865,0.0003030467777433222,0.0,5.96240793477773
Parameter-Based,Target-Priority Joint FT (tsbw),RNN,9,0.0,3.227174473333283,0.0003182006666974667,0.0,3.2274926739999805
Parameter-Based,Target-Priority Joint FT (tsbw),LSTM,9,0.0,3.7439135494444398,0.00031402144446064444,0.0,3.7442275708889006
Parameter-Based,Target-Priority Joint FT (tsbw),Transformer,9,0.0,5.9164606896667165,0.0003328754445040222,0.0,5.91679356511122
Parameter-Based,Thresholded Label-Aware FT (tsbw),RNN,9,0.0,3.1946797745553743,0.00033909166667293335,0.0,3.1950188662220476
Parameter-Based,Thresholded Label-Aware FT (tsbw),LSTM,9,0.0,3.7342773766667454,0.0003506060000088333,0.0,3.7346279826667543
